record,problem,problem_name
https://www.luogu.com.cn/record/20823077,https://www.luogu.com.cn/problem/SP1,"SP1
    TEST - Life, the Universe, and Everything"
https://www.luogu.com.cn/record/16973191,https://www.luogu.com.cn/problem/CF409F,"CF409F
    000001"
https://www.luogu.com.cn/record/16302009,https://www.luogu.com.cn/problem/CF114A,"CF114A
    Cifera"
https://www.luogu.com.cn/record/9188656,https://www.luogu.com.cn/problem/P1008,"P1008
    [NOIP1998 普及组] 三连击"
